/* Fichier de points VOLUMM-4D   2D
Listepoint   39
124   92  
248   16  
208   132  
276   108  
308   24  
324   108  
188   196  
140   96  
200   88  
156   124  
124   152  
104   52  
84   96  
84   180  
216   172  
140   124  
128   132  
236   84  
264   160  
320   172  
252   60  
280   192  
128   204  
144   140  
324   96  
280   56  
176   28  
132   244  
76   60  
388   64  
276   140  
284   64  
144   196  
60   52  
252   88  
236   204  
124   180  
268   64  
282   82  
FinListe   
