/* Fichier de points VOLUMM-4D   2D
Listepoint   72
116   68  
228   80  
156   128  
244   96  
252   164  
308   44  
240   92  
188   96  
172   72  
188   168  
272   60  
132   92  
116   156  
348   184  
256   72  
120   100  
300   124  
336   28  
252   152  
132   200  
272   68  
208   40  
132   96  
96   140  
132   72  
72   52  
72   40  
86   166  
200   192  
156   108  
208   12  
228   104  
192   176  
156   8  
108   12  
372   116  
284   156  
276   188  
340   172  
268   176  
212   52  
160   80  
256   148  
88   40  
176   144  
288   192  
168   176  
276   196  
200   180  
88   180  
328   140  
212   36  
196   144  
160   176  
232   184  
92   180  
132   200  
292   208  
324   220  
344   144  
324   8  
248   48  
192   64  
188   232  
124   248  
112   212  
380   172  
256   144  
180   128  
172   84  
140   108  
94   150  
FinListe   
